"Even Parity, Orbital Singlet and Spin Triplet Pairing for Superconducting La(O1􀀀xFx)FeAs","Even Parity, Orbital Singlet, and Spin Triplet Pairing for Superconducting ",X Dai Y Zhou,134,81.82%,90.00%
Quantum Monte-Carlo study of a two-species boson Hubbard model,Quantum Monte Carlo study of a two-species bosonic Hubbard model,M Troyer,10,77.78%,70.00%
Quantum Oscillations in Magnetic Field Induced Antiferromagnetic Phase of Underdoped Cuprates : Application to Ortho-II Y Ba2Cu3O6:5,Quantum oscillations in magnetic-field–induced antiferromagnetic phase of underdoped cuprates: Application to ortho-II YBa2Cu3O6. 5,WQ Chen TM Rice,68,29.41%,35.71%
Theory of resonant spin hall effect,Theory of resonant spin Hall effect,SQ Shen,8,83.33%,83.33%
Effect of superlattice modulation of electronic parameters on the density of states of cuprate superconductors,Effect of superlattice modulation of electronic parameters on the density of states of cuprate superconductors,TM Rice,10,100.00%,100.00%
A phenomenological theory of the pseudogap state T. M. Rice,Phenomenological theory of the pseudogap state,TM Rice,368,50.00%,83.33%
"Atomic scale rotational symmetry breaking in lightly doped Ca2􀀀xNaxCuO2Cl2, Y. Chen, T.M. Rice",Atomic scale rotational symmetry breaking in lightly doped Ca 2− x Na x CuO 2 Cl 2,TM Rice,0,61.54%,47.06%
Light induced anomalous Hall effect in semiconductors with spin-orbit coupling,Light-induced Hall effect in semiconductors with spin-orbit coupling,,10,70.00%,87.50%
Observation of electric current induced by optically injected spin current,Observation of electric current induced by optically injected spin current,XD Cui SQ Shen J Li,54,100.00%,100.00%
"""Unconventional superconducting symmetry in a checkerboard antiferromagnet studied via renor-",Unconventional superconducting symmetry in a checkerboard antiferromagnet studied via renormalized mean-field theory,,10,80.00%,66.67%
"malized mean-field theory""",Mean field theory for sigmoid belief networks,LK Saul MI Jordan,383,0.00%,0.00%
"""Spin-Orbital Entanglement and Phase Diagram of Spin-orbital Chain with SU(2)  SU(2)",Spin-Orbital Entanglement and Phase Diagram of Spin-orbital Chain with  Symmetry,,0,66.67%,72.73%
"Symmetry""",Metallic phase with long-range orientational order and no translational symmetry,D Gratias,7096,0.00%,0.00%
Rotational Symmetry Breaking in Sodium Doped Cuprates,A 'checkerboard'electronic crystal state in lightly hole-doped Ca2-xNaxCuO2Cl2,T Hanaguri M Azuma,669,14.29%,12.50%
Superconducting Pairing Symmetries in Anisotropic Triangular Quantum Antiferromagnets,Superconducting pairing symmetries in anisotropic triangular quantum antiferromagnets,,22,25.00%,25.00%
"""Low-energy physical properties of high-Tc superconducting Cu oxides: A comparison between",Low-energy physical properties of high- superconducting Cu oxides: A comparison between the resonating valence bond and experiments,CT Shih SM Huang TK Lee,34,81.82%,52.94%
"the resonating valence bond and experiments""",The resonating valence bond state in La2CuO4 and superconductivity,,7906,66.67%,44.44%
Exploring quantum phase transitions with a sublattice entanglement scenario,Exploring quantum phase transitions with a sublattice entanglement scenario,ZD Wang,33,100.00%,100.00%
"""Local antiferromagnetic moment induced by Zn impurity in high-Tc superconducting copper",Local antiferromagnetic moment induced by Zn impurity in high- superconducting copper oxides: A resonating-valence-bond picture,,0,81.82%,60.00%
"oxides: A resonating-valence-bond picture""",The resonating valence bond state and high-Tc superconductivity—a mean field theory,G Baskaran,1318,0.00%,0.00%
Sublattice entanglement and quantum phase transitions in antiferromagnetic spin chains,Sublattice entanglement and quantum phase transitions in antiferromagnetic spin chains,P Zanardi ZD Wang,105,100.00%,100.00%
Gossamer superconductivity in layered organic compounds,Gossamer superconductivity in layered organic compounds κ-(BEDT-TTF) 2X,,0,100.00%,75.00%
SU(2) × U(1) unified theory for spin and charge currents P. Q. Jin,"SU (2)× U (1) unified theory for charge, orbit and spin currents",,55,46.15%,50.00%
Phenomenological theory of the pseudogap state,Phenomenological theory of the pseudogap state,TM Rice,368,100.00%,100.00%
Unrestricted renormalized mean eld theory of strongly correlated electron systems,Unrestricted renormalized mean field theory of strongly correlated electron systems,ZD Wang,41,90.00%,90.00%
Resonant intrinsic spin Hall eect in p-type GaAs quantum well structure,Resonant Intrinsic Spin Hall Effect in -Type GaAs Quantum Well Structure,X Dai YG Yao,26,36.36%,36.36%
Edge Spin Current and Spin Polarization in Quantum Hall Region,Edge spin current and spin polarization in quantum Hall regime,SQ Shen,22,40.00%,40.00%
"""Theory for supersolid helium-4: Vacancy condensation facilitated by a low-energy bound",Theory for supersolid : Vacancy condensation facilitated by a low-energy bound state of a vacancy and an interstitial,X Dai,28,90.91%,50.00%
"state of a vacancy and an interstitial""",Theory for supersolid : Vacancy condensation facilitated by a low-energy bound state of a vacancy and an interstitial,X Dai,28,100.00%,33.33%
"""Particle-hole asymmetry in doped Mott insulators: implications for tunneling and photoe-",Particle-hole asymmetry in doped Mott insulators: implications for tunneling and photoemission spectroscopies,M Randeria R Sensarma N Trivedi,100,81.82%,75.00%
"mission spectroscopics""",Overview of the far ultraviolet spectroscopic explorer mission,,694,50.00%,12.50%
Charge Ordered RVB States in the Doped Cuprates,Charge Ordered RVB States in the Doped Cuprates,,0,100.00%,100.00%
"""Resonant spin Hall conductance in quantum Hall systems lacking bulk and structural inversion",Resonant spin Hall conductance in quantum Hall systems lacking bulk and structural inversion symmetry,SQ Shen,60,92.31%,85.71%
